dataset,method,vehicle_id,seg_index,rmse_full_pct,mae_full_pct,maxerr_full_pct,rmse_postconv_pct,mae_postconv_pct,maxerr_postconv_pct,t_conv_strict_s,t_conv_hold_s,t_conv_legacy_s,duration_s,n_samples
BMW_i3,ekf,bmw_i3,41,36.38881248372326,35.478427317695854,45.380088282196006,,,,,,,1560.9,15610.0
BMW_i3,coulomb,bmw_i3,41,35.98951350540439,34.69631843598003,51.62847685185192,,,,,,,1560.9,15610.0
BMW_i3,ocv_lookup,bmw_i3,41,45.7335009348669,45.468636886851854,52.800000000000004,,,,,,,1560.9,15610.0
BMW_i3,ekf,bmw_i3,42,14.95942023940255,14.958766908742113,15.252740277777777,,,,,,,1109.2,11093.0
BMW_i3,coulomb,bmw_i3,42,26.483631885746544,25.925657830680677,31.900000000000006,,,,,,,1109.2,11093.0
BMW_i3,ocv_lookup,bmw_i3,42,57.53180878491799,47.486111175365444,82.1,4.424919554729842,4.419007729676439,4.99768112506257,1085.3,1085.3,143.7,1109.2,11093.0
BMW_i3,ekf,bmw_i3,43,12.071425934884987,12.071006091266169,12.292652777777791,,,,,,,1190.9,11910.0
BMW_i3,coulomb,bmw_i3,43,22.60164756355172,21.94747054906396,28.400000000000002,,,,,,,1190.9,11910.0
BMW_i3,ocv_lookup,bmw_i3,43,48.21204060347304,35.183294940733,84.2,2.3944827793913914,1.901199899838557,4.995979904445036,1140.3,1140.3,710.1,1190.9,11910.0
BMW_i3,ekf,bmw_i3,44,19.880512996807223,19.880347217692485,20.07936759259261,,,,,,,1402.6,14027.0
BMW_i3,coulomb,bmw_i3,44,32.3339411339678,31.75231304098709,38.0,,,,,,,1402.6,14027.0
BMW_i3,ocv_lookup,bmw_i3,44,52.70224842791006,43.878861349716274,72.2,,,,,,0.0,1402.6,14027.0
BMW_i3,ekf,bmw_i3,45,40.1450538050391,40.076206424094785,44.3,,,,,,,1039.4,10395.0
BMW_i3,coulomb,bmw_i3,45,36.45785501848234,34.935905212352814,49.61552037037039,,,,,,,1039.4,10395.0
BMW_i3,ocv_lookup,bmw_i3,45,48.45516137753416,48.1064918552656,55.7,,,,,,,1039.4,10395.0
BMW_i3,ekf,bmw_i3,46,13.381045291391525,13.380761893669717,13.608187037037078,,,,,,,1199.1,11992.0
BMW_i3,coulomb,bmw_i3,46,24.745172030013045,24.26524160312122,29.500000000000004,,,,,,,1199.1,11992.0
BMW_i3,ocv_lookup,bmw_i3,46,41.67977271726486,27.256470956733033,83.8,1.513958547600938,1.3260136139873189,4.76080650151639,1132.9,1132.9,269.6,1199.1,11992.0
BMW_i3,ekf,bmw_i3,47,15.548949319768104,14.90738691679217,20.013041666666677,,,,,,,1113.1,11132.0
BMW_i3,coulomb,bmw_i3,47,39.27506878999604,38.25452091384863,46.5,,,,,,,1113.1,11132.0
BMW_i3,ocv_lookup,bmw_i3,47,57.37170929920195,55.19384694465155,71.8,,,,,,0.0,1113.1,11132.0
BMW_i3,ekf,bmw_i3,48,20.56592198531095,17.401035877408898,28.509588561395326,4.824769561001195,4.824442664425157,4.999708185581508,903.1,903.1,876.4,977.7,9778.0
BMW_i3,coulomb,bmw_i3,48,27.73341151504939,27.2523203973584,36.19207824074078,,,,,,,977.7,9778.0
BMW_i3,ocv_lookup,bmw_i3,48,49.72269104912004,49.57993281140496,53.400000000000006,,,,,,,977.7,9778.0
BMW_i3,ekf,bmw_i3,49,1.57924141535556,1.4815593569518608,2.324837789712686,1.57924141535556,1.4815593569518608,2.324837789712686,0.0,0.0,0.0,1021.6,10217.0
BMW_i3,coulomb,bmw_i3,49,35.73431484786081,34.66490935355559,43.996021296296234,,,,,,,1021.6,10217.0
BMW_i3,ocv_lookup,bmw_i3,49,38.42788954727097,38.188977194871285,45.4,,,,,,,1021.6,10217.0
BMW_i3,ekf,bmw_i3,50,19.88176922144106,19.881548935915756,20.07898749999999,,,,,,,804.8,8049.0
BMW_i3,coulomb,bmw_i3,50,34.55337604041587,33.32432071570887,44.73180833333332,,,,,,,804.8,8049.0
BMW_i3,ocv_lookup,bmw_i3,50,27.191635995427703,26.816252950677104,33.4,,,,,,,804.8,8049.0
BMW_i3,ekf,bmw_i3,51,1.77704801985777,1.4290428848367853,3.4689142625189016,1.77704801985777,1.4290428848367853,3.4689142625189016,0.0,0.0,0.0,1468.9,14690.0
BMW_i3,coulomb,bmw_i3,51,39.931543361836745,38.52274380594003,57.592583333333295,,,,,,,1468.9,14690.0
BMW_i3,ocv_lookup,bmw_i3,51,43.95767567738463,43.59565869067717,52.900000000000006,,,,,,,1468.9,14690.0
