seg_index,vehicle_id,rmse_full_pct,outcome,t_conv_strict_s,innov_mean_mV,innov_std_mV,innov_lag1_autocorr,innov_soc_struct_rms_mV,frac_flat_ocv,dt_median_s,I_quant_step_A,duration_s,soh_end,r_int_end_mOhm
105,VehId_0010,6.194591141366035,diverged,,1.9909014923803248,55.72776091056232,-0.00839813238203187,,1.0,0.3999999999999986,0.25,450.8,0.6766807304674376,15.04681787640889
106,VehId_0010,28.130467579979012,diverged,,1.2883682956770945,16.67501738512836,0.38395276733866857,,1.0,0.30000000000001137,0.25,196.7,0.8228346553919923,2.0260998336068425
107,VehId_0010,15.007152088195031,recovered,,0.6518042840058201,45.285127515521346,0.01993881346749813,,0.0,0.3999999999999915,0.25,442.8,0.7029009113256893,14.104520220549901
108,VehId_0010,8.657607483337536,converged,193.4,0.6796200684736272,56.32574759184393,0.013648112331291448,,0.38345864661654133,0.30000000000001137,0.25,398.4,0.652769160023623,14.796353899644451
109,VehId_0010,20.036325892379114,diverged,,0.8760461586240664,60.53472880802008,-0.006012137444130025,,0.0,0.39999999999997726,0.25,569.3,0.8760602875677493,14.779335271708733
110,VehId_0010,43.54497367532667,diverged,,-0.3739085307668567,47.56659528846645,0.06173959489521459,,0.0,0.5,0.25,1041.2,0.5564847016685557,13.175526449261838
111,VehId_0010,3.1503327097792417,converged,587.2,1.9283173567588965,52.435562986870714,0.008628750267254402,,1.0,0.3000000000000682,0.25,676.2,0.7055656326581703,14.250896534391487
112,VehId_0010,3.3518534817905574,converged,0.0,2.1852283768800804,61.242829542268076,-0.008260152850225065,,0.0,0.3999999999999915,0.25,252.7,1.0,14.90072862463565
113,VehId_0010,1.5782027246138703,converged,0.0,2.455286823384165,50.46286061090855,0.027714892526416682,,1.0,0.4000000000000199,0.25,547.5,1.0,15.007339522123601
114,VehId_0010,5.690299647238766,recovered,,2.2367502654113265,56.57752205778135,0.005980121619693387,,0.0,0.4000000000000057,0.25,1127.4,1.0,14.849076914455503
115,VehId_0010,2.9316192959802296,recovered,,1.9715838509375958,42.744007680638475,0.004392910244716708,,1.0,0.39999999999997726,0.25,941.0,0.9680783561387953,14.444785347945135
116,VehId_0010,5.243383193639425,recovered,,6.9000276858942025,39.90037406155482,-0.007628322162015961,,0.0,0.9000000000000057,0.25,200.0,1.0,14.96349615867241
117,VehId_0010,18.342094805459134,diverged,,0.6184923945770475,57.17843616439155,-0.017622027152953957,,0.0,0.5,0.25,728.8,1.0,14.877302089113396
118,VehId_0010,3.608807616678473,diverged,,1.714372488426946,54.85998552577069,-0.013370163312856223,,1.0,0.39999999999997726,0.25,557.7,0.7269886282717081,14.826347814978774
119,VehId_0010,4.874080917375783,recovered,,1.454759684896518,51.80791566702455,-0.00814016017324592,,0.0,0.4000000000000057,0.25,905.8,1.0,14.832906933053021
120,VehId_0010,60.15239155890818,diverged,,2.5697531097384556,36.38742949729547,-0.035779741134756494,,0.0,0.30000000000001137,0.25,402.8,0.5610386071534295,7.97828606691949
121,VehId_0010,20.732766984653246,diverged,,-2.0777857272766105,53.54868028179972,-0.009386940133333356,,0.0,0.4000000000000057,0.25,204.7,1.0,14.979939576931415
122,VehId_0010,37.479938137686254,diverged,,1.8293177066172672,52.856433750788575,0.02855591368543928,,0.7234726688102894,0.5,0.25,1738.7,0.5519551941141745,14.643506283902312
123,VehId_0010,7.455850078401858,converged,1025.6,1.1439778441405832,55.647139940757945,-0.0056457597894141965,,0.14619883040935672,0.39999999999997726,0.25,1075.7,0.6377196258260507,13.304447983627632
124,VehId_0010,73.59214560684832,diverged,,2.56221115834385,54.528871791744464,0.009038301969875253,,1.0,0.39999999999997726,0.25,665.3,0.5701707933165514,16.42100633840929
125,VehId_0010,32.893691011990576,diverged,,0.6777041954599458,61.14560472718359,0.015501572154975357,,0.0,0.39999999999997726,0.25,634.6,0.6962872196311531,15.230586484003274
126,VehId_0010,9.293350180323992,diverged,,2.1548733396973723,52.16877213031647,-0.015251019426982731,,0.0,0.4000000000000057,0.25,152.7,1.0,14.868256825793772
127,VehId_0010,24.116947482575185,diverged,,0.7643169095677127,64.64290107032632,0.0056346034223929,,0.0,0.30000000000001137,0.25,357.6,1.0,18.95514551943691
128,VehId_0010,26.167933560322332,diverged,,0.5238842086367896,94.05378248268146,-0.05325062932936809,,0.0,0.39999999999997726,0.25,588.8,0.5416538886327831,13.553740638336203
129,VehId_0010,22.951961580484465,diverged,,2.953985380647193,60.00333171365747,0.005050582025352615,,0.0,0.4000000000000057,0.25,317.9,0.8069869151899718,14.65777194678486
130,VehId_0010,54.04657615333788,diverged,,1.5384458174350026,54.5198252197596,0.016324413407381257,,1.0,0.4000000000000057,0.25,787.3,0.5818517932322925,14.811963241338615
131,VehId_0010,5.493791551276229,converged,1252.8,1.8903543915184724,71.45076997370832,0.03449300645848572,,0.6216216216216216,0.5,0.25,1936.4,0.5682659779531789,11.502449955421785
132,VehId_0010,1.342514755856947,converged,961.6,2.234437346339846,55.44886269228158,0.002036030136826213,,0.9488817891373802,0.5,0.25,1091.6,1.0,14.873971544874339
133,VehId_0010,24.230055345864617,diverged,,0.6676149748615049,8.742411062822372,0.3682664971908219,,0.19696969696969696,0.39999999999997726,0.25,376.2,1.0,1.5915086373274574
134,VehId_0010,25.026800084113788,diverged,,0.7338188175377389,9.701338513237976,0.12188648980229373,,0.5269121813031161,0.4000000000000057,0.25,867.7,1.0,1.6578928110322786
135,VehId_0010,24.837796386269673,diverged,,1.6860812065260005,20.270318460220732,0.1777326366976624,,0.0,0.4000000000000057,0.25,288.6,0.8702031539091337,1.5046114113012945
136,VehId_0010,36.104726077195224,diverged,,-0.7211606341193821,64.39514086420058,0.05296508157686438,,0.322884012539185,0.39999999999997726,0.25,946.1,0.5393860328155708,11.907416638499065
137,VehId_0010,17.929162333003397,diverged,,0.6093611776263573,63.10014284717071,0.007653685157518499,,0.40606060606060607,0.39999999999997726,0.25,810.8,0.6054222589070699,12.114464240249644
138,VehId_0010,28.736406274516753,diverged,,0.8195354349280293,11.462091244140922,0.15250024347664834,,1.0,0.4000000000000057,0.25,390.1,0.8062558706038789,1.6986246081223582
