# generated 20260719T195455Z by data/make_before_after.py; before = results/pre_sign_fix_snapshot (pre-fix), after = regenerated post-fix; TOL=0.005
table,dataset,method,key,metric,before,after,delta,was_inverted_before,changed
baseline_comparison.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,rmse_mean,37.753746948120366,37.753746948120366,0.0,False,False
baseline_comparison.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,conv_rate_strict,0.3968253968253968,0.3968253968253968,0.0,False,False
baseline_comparison.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,rate_recovered,0.047619047619047616,0.047619047619047616,0.0,False,False
baseline_comparison.csv,BMW_i3,ocv_lookup,BMW_i3|ocv_lookup,rate_diverged,0.5555555555555556,0.5555555555555556,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_coupled,BMW_i3|rbc_coupled,rmse_median,16.88931425647862,16.88931425647862,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_coupled,BMW_i3|rbc_coupled,rmse_mean,18.491753793291434,18.491753793291434,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_coupled,BMW_i3|rbc_coupled,conv_rate_strict,0.07936507936507936,0.07936507936507936,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_coupled,BMW_i3|rbc_coupled,rate_recovered,0.031746031746031744,0.031746031746031744,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_coupled,BMW_i3|rbc_coupled,rate_diverged,0.8888888888888888,0.8888888888888888,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_dekf,BMW_i3|rbc_dekf,rmse_median,19.390618819998252,19.390618819998252,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_dekf,BMW_i3|rbc_dekf,rmse_mean,18.58381972826729,18.58381972826729,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_dekf,BMW_i3|rbc_dekf,conv_rate_strict,0.047619047619047616,0.047619047619047616,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_dekf,BMW_i3|rbc_dekf,rate_recovered,0.015873015873015872,0.015873015873015872,0.0,False,False
baseline_comparison.csv,BMW_i3,rbc_dekf,BMW_i3|rbc_dekf,rate_diverged,0.9365079365079365,0.9365079365079365,0.0,False,False
baseline_comparison.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,rmse_median,19.889721299855303,19.889721299855303,0.0,False,False
baseline_comparison.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,rmse_mean,15.663319726305382,15.663319726305382,0.0,False,False
baseline_comparison.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,conv_rate_strict,0.23076923076923078,0.23076923076923078,0.0,False,False
baseline_comparison.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,rate_recovered,0.07692307692307693,0.07692307692307693,0.0,False,False
baseline_comparison.csv,CALCE_A123,coulomb,CALCE_A123|coulomb,rate_diverged,0.6923076923076923,0.6923076923076923,0.0,False,False
baseline_comparison.csv,CALCE_A123,my_ekf,CALCE_A123|my_ekf,rmse_median,25.293778179663093,31.704197880461972,6.4104197007988795,True,True
baseline_comparison.csv,CALCE_A123,my_ekf,CALCE_A123|my_ekf,rmse_mean,35.18069845485191,38.27924479661326,3.098546341761356,True,True
baseline_comparison.csv,CALCE_A123,my_ekf,CALCE_A123|my_ekf,conv_rate_strict,0.07692307692307693,0.2692307692307692,0.1923076923076923,True,True
baseline_comparison.csv,CALCE_A123,my_ekf,CALCE_A123|my_ekf,rate_recovered,0.038461538461538464,0.038461538461538464,0.0,True,False
baseline_comparison.csv,CALCE_A123,my_ekf,CALCE_A123|my_ekf,rate_diverged,0.8846153846153846,0.6923076923076923,-0.1923076923076923,True,True
baseline_comparison.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,rmse_median,34.679438261304156,34.679438261304156,0.0,False,False
baseline_comparison.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,rmse_mean,36.81458850586005,36.81458850586005,0.0,False,False
baseline_comparison.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,conv_rate_strict,0.2692307692307692,0.2692307692307692,0.0,False,False
baseline_comparison.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,rate_recovered,0.15384615384615385,0.15384615384615385,0.0,False,False
baseline_comparison.csv,CALCE_A123,ocv_lookup,CALCE_A123|ocv_lookup,rate_diverged,0.5769230769230769,0.5769230769230769,0.0,False,False
baseline_comparison.csv,CALCE_A123,rbc_coupled,CALCE_A123|rbc_coupled,rmse_median,36.1246629067887,21.93926923686456,-14.185393669924139,True,True
baseline_comparison.csv,CALCE_A123,rbc_coupled,CALCE_A123|rbc_coupled,rmse_mean,32.33947766023073,22.89600867206076,-9.443468988169968,True,True
baseline_comparison.csv,CALCE_A123,rbc_coupled,CALCE_A123|rbc_coupled,conv_rate_strict,0.038461538461538464,0.2692307692307692,0.23076923076923075,True,True
baseline_comparison.csv,CALCE_A123,rbc_coupled,CALCE_A123|rbc_coupled,rate_recovered,0.0,0.15384615384615385,0.15384615384615385,True,True
baseline_comparison.csv,CALCE_A123,rbc_coupled,CALCE_A123|rbc_coupled,rate_diverged,0.9615384615384616,0.5769230769230769,-0.3846153846153847,True,True
baseline_comparison.csv,CALCE_A123,rbc_dekf,CALCE_A123|rbc_dekf,rmse_median,26.23981642132982,26.795969751849988,0.5561533305201678,True,True
baseline_comparison.csv,CALCE_A123,rbc_dekf,CALCE_A123|rbc_dekf,rmse_mean,31.78804256036314,34.023036816724364,2.2349942563612224,True,True
baseline_comparison.csv,CALCE_A123,rbc_dekf,CALCE_A123|rbc_dekf,conv_rate_strict,0.15384615384615385,0.3076923076923077,0.15384615384615385,True,True
baseline_comparison.csv,CALCE_A123,rbc_dekf,CALCE_A123|rbc_dekf,rate_recovered,0.07692307692307693,0.07692307692307693,0.0,True,False
baseline_comparison.csv,CALCE_A123,rbc_dekf,CALCE_A123|rbc_dekf,rate_diverged,0.7692307692307693,0.6153846153846154,-0.15384615384615385,True,True
